"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1622637159,0,0,0,0,0,5224,11132,10604,22285,5204,11084,10564,22189,20,48,40,96
1622637160,0,0,0,0,0,5240,11168,10634,22357,5224,11132,10604,22285,16,36,30,72
1622637161,0,0,0,0,0,5259,11216,10674,22453,5240,11168,10634,22357,19,48,40,96
1622637162,0,0,0,0,0,5275,11252,10704,22525,5259,11216,10674,22453,16,36,30,72
1622637163,0,0,0,0,0,5294,11298,10744,22618,5275,11252,10704,22525,19,46,40,93
1622637164,0,0,0,0,0,5315,11346,10784,22714,5294,11298,10744,22618,21,48,40,96
1622637166,0,0,0,0,0,5327,11375,10808,22772,5315,11346,10784,22714,12,29,24,58
1622637167,0,0,0,0,0,5365,11466,10884,22954,5327,11375,10808,22772,38,91,76,182
1622637168,0,0,0,0,0,5385,11513,10924,23049,5365,11466,10884,22954,20,47,40,95
1622637169,0,0,0,0,0,5400,11551,10956,23125,5385,11513,10924,23049,15,38,32,76
1622637170,0,0,0,0,0,5421,11599,10996,23221,5400,11551,10956,23125,21,48,40,96
1622637171,0,0,0,0,0,5441,11647,11036,23318,5421,11599,10996,23221,20,48,40,97
1622637172,0,0,0,0,0,5455,11682,11066,23388,5441,11647,11036,23318,14,35,30,70
1622637173,0,0,0,0,0,5476,11729,11106,23482,5455,11682,11066,23388,21,47,40,94
1622637174,0,0,0,0,0,5492,11767,11138,23558,5476,11729,11106,23482,16,38,32,76
1622637175,0,0,0,0,0,5511,11813,11176,23650,5492,11767,11138,23558,19,46,38,92
1622637176,0,0,0,0,0,5530,11861,11216,23746,5511,11813,11176,23650,19,48,40,96
1622637177,0,0,0,0,0,5545,11897,11246,23818,5530,11861,11216,23746,15,36,30,72
1622637178,0,0,0,0,0,5566,11945,11286,23914,5545,11897,11246,23818,21,48,40,96
1622637179,0,0,0,0,0,5580,11981,11316,23986,5566,11945,11286,23914,14,36,30,72
1622637180,0,0,0,0,0,5601,12028,11356,24081,5580,11981,11316,23986,21,47,40,95
1622637181,0,0,0,0,0,5621,12075,11396,24175,5601,12028,11356,24081,20,47,40,94
1622637182,0,0,0,0,0,5635,12111,11426,24247,5621,12075,11396,24175,14,36,30,72
1622637183,0,0,0,0,0,5656,12159,11466,24343,5635,12111,11426,24247,21,48,40,96
1622637184,0,0,0,0,0,5670,12195,11496,24415,5656,12159,11466,24343,14,36,30,72
1622637185,0,0,0,0,0,5691,12243,11536,24511,5670,12195,11496,24415,21,48,40,96
1622637186,0,0,0,0,0,5711,12291,11576,24607,5691,12243,11536,24511,20,48,40,96
1622637187,0,0,0,0,0,5726,12327,11606,24679,5711,12291,11576,24607,15,36,30,72
1622637188,0,0,0,0,0,5729,12336,11614,24697,5726,12327,11606,24679,3,9,8,18
